,0,1,2,3,4,5,6,7,8
494,21,28,23,33,25,28,18,9,43
495,14,19,11,20,16,18,5,-3,33
496,1,6,0,10,6,7,-6,-13,21
497,-11,-6,-7,-2,-9,-4,-18,-25,10
498,-18,-19,-22,-13,-18,-15,-32,-34,-3
499,-32,-29,-32,-27,-31,-27,-40,-45,-15
500,-38,-38,-41,-39,-43,-37,-48,-46,-27
501,-44,-49,-46,-43,-47,-43,-52,-48,-36
502,-46,-49,-48,-48,-52,-46,-54,-51,-43
503,-49,-52,-51,-51,-56,-48,-55,-47,-49
504,-49,-52,-47,-51,-54,-50,-47,-41,-54
505,-42,-46,-43,-49,-49,-45,-40,-32,-54
506,-37,-42,-34,-41,-40,-37,-31,-24,-53
507,-29,-30,-26,-33,-32,-27,-22,-15,-46
508,-20,-22,-23,-25,-24,-24,-13,-2,-38
509,-9,-14,-10,-15,-8,-13,-1,8,-27
510,5,-1,5,-3,3,-3,8,20,-22
511,13,11,16,13,15,9,21,30,-9
512,27,24,24,21,27,20,33,37,7
513,36,31,34,31,39,29,40,42,19
514,44,41,44,39,47,38,47,47,28
515,49,47,47,46,50,43,49,50,35
516,49,50,49,51,55,49,54,47,46
517,49,51,51,49,51,49,49,42,51
518,47,47,48,48,49,48,47,37,51
519,42,46,43,45,46,43,42,29,50
520,38,39,35,41,38,38,29,20,45
521,25,31,28,32,32,33,21,8,40
522,14,22,14,19,20,23,9,-2,32
523,8,12,6,12,11,13,3,-8,23
524,-2,3,-1,3,0,4,-6,-13,16
525,-10,-6,-13,-6,-12,-4,-17,-22,5
526,-21,-17,-21,-15,-19,-15,-21,-29,-1
527,-29,-23,-29,-25,-29,-24,-31,-30,-12
528,-35,-32,-37,-31,-33,-32,-36,-35,-23
529,-38,-32,-39,-38,-39,-35,-38,-38,-29
530,-41,-40,-42,-39,-42,-42,-41,-39,-36
531,-45,-42,-40,-43,-43,-42,-45,-42,-40
532,-44,-44,-42,-44,-45,-42,-43,-34,-44
533,-39,-44,-40,-38,-41,-38,-37,-30,-43
534,-31,-37,-30,-36,-34,-38,-28,-21,-42
535,-23,-30,-23,-30,-26,-29,-20,-13,-41
536,-16,-22,-16,-19,-16,-19,-11,-7,-32
537,-8,-10,-7,-12,-9,-14,-5,6,-26
538,0,-7,2,-5,0,-4,5,10,-14
539,8,5,11,2,8,5,14,19,-6
540,16,11,19,10,15,12,20,24,0
541,22,19,27,18,22,20,29,32,12
542,29,27,27,25,27,26,31,34,20
543,33,29,31,33,32,32,36,33,27
544,38,35,36,33,34,35,37,37,31
545,39,35,39,36,40,36,37,34,34
546,37,39,38,38,39,37,38,30,40
547,40,37,34,35,34,34,31,30,39
548,31,32,30,32,33,33,29,20,38
549,22,27,26,25,23,25,18,12,36
550,16,20,13,20,17,18,11,4,30
551,8,13,8,12,8,9,4,-4,25
552,3,6,-1,3,0,1,-2,-10,16
553,-6,-2,-8,-1,-5,-3,-9,-18,10
554,-14,-10,-18,-11,-16,-11,-18,-21,2
555,-21,-19,-25,-17,-21,-20,-21,-27,-6
556,-27,-23,-26,-23,-26,-24,-28,-29,-14
557,-30,-29,-32,-28,-30,-29,-35,-33,-23
558,-35,-33,-33,-29,-33,-31,-35,-32,-26
559,-33,-32,-35,-34,-36,-37,-37,-30,-29
560,-35,-36,-33,-34,-36,-34,-34,-30,-34
561,-33,-30,-32,-33,-37,-37,-35,-25,-36
562,-29,-29,-31,-30,-33,-34,-32,-23,-37
563,-23,-28,-25,-26,-30,-27,-25,-19,-29
564,-20,-22,-19,-24,-25,-25,-21,-8,-29
565,-14,-17,-14,-17,-15,-21,-13,-5,-26
